AuthorName,AuthorID,AffiliationName,AffiliationID,TopPaperCount
subhash khot,7C717ADF,georgia institute of technology,07CA5884,57
stephen cook,7D1AD4D5,university of toronto,0B0ADEB6,57
ariel felner,7321E834,ben gurion university of the negev,07679147,57
leif kobbelt,76564AB2,rwth aachen university,34ED541F,56
craig macdonald,8015C72E,university of glasgow,00784876,56
hui zhang,7D279314,carnegie mellon university,0477FFD3,56
mooly sagiv,502BED39,tel aviv university,00FA1C18,56
rafael pass,7CA3000D,cornell university,0C4400FF,55
shumin zhai,7BF4B90F,ibm,4FF45383,54
peter l bartlett,6E3F11B9,australian national university,070DD774,54
pattie maes,7FCE5B06,massachusetts institute of technology,03D00B37,54
jimmy lin,80F636E3,university of maryland college park,03FD8454,54
sven koenig,7EF67BA3,university of southern california,0011EAC4,54
tian he,80388B5E,university of minnesota,07C34834,54
vern paxson,2AAF52EA,international computer science institute,4D5D795C,54
alexander g hauptmann,7DF5EE6D,carnegie mellon university,0477FFD3,53
milind tambe,855815E4,university of southern california,0011EAC4,53
todd c mowry,026F876F,carnegie mellon university,0477FFD3,53
thomas gross,7DE5E77C,eth zurich,021CC5D8,53
thomas reps,14592651,university of wisconsin madison,0810AAFA,53
zhili zhang,81027109,university of minnesota,07C34834,52
k k ramakrishnan,7F26F553,at t labs,4F872588,52
paul beame,78579AD1,university of washington,0C01DCFD,52
ashish goel,7DE39847,stanford university,05C86094,52
marti a hearst,814DA0EC,university of california berkeley,05B090CE,52
johan hastad,32FFEED1,royal institute of technology,052F5108,52
dawn song,7F08534C,university of california berkeley,05B090CE,52
richard szeliski,7572D13D,microsoft,4CE6FC2D,52
jiebo luo,7AC7BD33,university of rochester,005237C4,52
guohong cao,812FDF0F,pennsylvania state university,07CB626B,52
mingsyan chen,7E80B9BB,national taiwan university,00FF56A8,51
mark bolas,2BA00B5B,university of southern california,0011EAC4,51
david p woodruff,7FB3FA24,ibm,4FF45383,51
srinivasan seshan,7CCEBFE2,carnegie mellon university,0477FFD3,51
david w jacobs,7DA7B04F,university of maryland college park,03FD8454,51
jens palsberg,004C820F,university of california los angeles,099D876D,51
weiming hu,7E9C9129,chinese academy of sciences,012E6F4E,51
wen gao,7E6CF333,peking university,0134B592,50
mikko h lipasti,84EF3E46,university of wisconsin madison,0810AAFA,50
aniket kittur,781AB30C,carnegie mellon university,0477FFD3,50
anand sivasubramaniam,812B3684,pennsylvania state university,07CB626B,49
jan camenisch,775045AA,ibm,4FF45383,49
dani lischinski,0F67D61D,hebrew university of jerusalem,0BC1D058,49
andrew w moore,7D1AB532,carnegie mellon university,0477FFD3,49
giuseppe de giacomo,7DFE1110,sapienza university of rome,335ED749,49
prasant mohapatra,7F1AA18B,university of california davis,050513B0,49
david f redmiles,1294FFFC,university of california irvine,0C2C9DD2,49
yi ma,7FE30EDB,university of illinois at urbana champaign,0966B229,48
heikki mannila,12857062,university of helsinki,07F892EC,48
geri gay,7ED20B3B,cornell university,0C4400FF,48
vivek narasayya,7AA24862,microsoft,4CE6FC2D,48
luca trevisan,7E1F898D,university of california berkeley,05B090CE,48
w keith edwards,8127D2A3,georgia institute of technology,07CA5884,48
anna r karlin,78FA9022,university of washington,0C01DCFD,48
pierangela samarati,7C74292B,university of milan,0B46561F,47
harpreet s sawhney,7B50CE3E,sarnoff corporation,4E13CA1C,47
yizhou yu,81597542,university of illinois at urbana champaign,0966B229,47
hamid pirahesh,83E84990,ibm,4FF45383,47
bart preneel,80880315,katholieke universiteit leuven,05EDB3A0,47
dawson r engler,80F7AFD3,stanford university,05C86094,47
eitan grinspun,7CF7FD47,columbia university,04AF010A,47
adrian david cheok,0140BA9F,national university of singapore,09E3EE34,47
han liu,8065A321,princeton university,01328BF3,46
thomas l griffiths,7E808425,university of california berkeley,05B090CE,46
mounia lalmas,02C02B45,queen mary university of london,09EA1A37,46
jakob e bardram,774BB1C2,it university of copenhagen,04F99C7A,46
oliver deussen,04725FA3,university of konstanz,0B4EC93C,46
hujun bao,7D29BB8C,zhejiang university,0489A984,46
gang hua,7F20C7DE,stevens institute of technology,06771A5A,45
andre van der hoek,7F5DF39A,university of california irvine,0C2C9DD2,45
judea pearl,82C8A989,university of california los angeles,099D876D,45
baba c vemuri,140F7A52,university of florida,01FACAD8,45
tomas pajdla,76FA67EE,czech technical university in prague,02A71496,45
edwin r hancock,7A0307AC,university of york,031AFA6D,45
